"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"вязов" 0 0 0 0 0
"габриэлу" 0 0 0 0 0
"гавайских" 0 0 0 0 0
"гавайского" 0 0 0 0 0
"гавайях" 0 0 0 0 0
"галерею" 0 0 0 0 0
"гг" 0 0 0 0 0
"генеральной" 0 0 0 0 0
"герметичное" 0 0 0 0 0
"героем" 0 0 0 0 0
"героиней" 0 0.05 0.05 0.05 0.05
"героиням" 0 0 0 0 0
"героях" 0 0 0 0 0
"геспера" 0 0 0 0 0
"гесперид" 0 0 0 0 0
"гигантское" 0 0 0 0 0
"гимн" 0 0 0 0 0
"гиперопеке" 0 0 0 0 0
"гирлянд" 0 0 0 0 0
"главами" 0 0 0 0 0
"главную" 0 0 0 0 0
"главными" 0 0 0 0 0
"главой" 0 0 0 0 0
"главу" 0 0 0 0 0
"главы" 0 0 0 0 0
"гладиатор" 0 0 0 0 0
"глазами" 0 0 0 0 0
"глазом" 0 0 0 0 0
"глазуновым" 0 0 0 0 0
"глобально" 0 0 0 0 0
"глохнет" 0 0 0 0 0
"глубине" 0 0 0 0 0
"глубины" 0 0 0 0 0
"глупо" 0 0 0 0 0
"глупости" 0 0 0 0 0
"глупые" 0 0 0 0 0
"гном" 0 0 0 0 0
"говорил" 0 0 0 0 0
"говорила" 0 0 0 0 0
"говорят" 0.05 0.05 0 0 0
"говорящие" 0 0 0 0 0
"говорящий" 0 0 0 0 0
"годы" 0 0 0 0 0
"голливудский" 0.05 0.05 0 0 0
"голливудских" 0 0 0 0 0
"головорезов" 0 0 0 0 0
"голодные" 0 0 0 0 0
"голос" 0 0 0 0 0
"гомера" 0 0 0 0 0
"гомеровские" 0 0 0 0 0
"гомеровского" 0 0 0 0 0
"гомеру" 0 0 0 0 0
"гонках" 0 0 0 0 0
"гонке" 0 0 0 0 0
"гонки" 0 0 0 0 0
"гонщиков" 0 0 0 0 0
"городе" 0.05 0 0 0 0
"городом" 0 0 0 0 0
"горы" 0 0 0 0 0
"горят" 0 0 0 0 0
"государственная" 0 0 0 0 0
"государственные" 0 0 0 0 0
"готической" 0 0 0 0 0
"готов" 0 0 0 0 0
"готовит" 0 0 0 0 0
"готового" 0 0 0 0 0
"грайз" 0 0 0 0 0
"грамотно" 0 0 0 0 0
"грандиозного" 0 0 0 0 0
"граница" 0 0 0 0 0
"границе" 0 0 0 0 0
"границей" 0 0 0 0 0
"гранно" 0 0 0 0 0
"грассо" 0 0 0 0 0
"грега" 0 0 0 0 0
"грейзер" 0 0 0 0 0
"григорий" 0 0 0 0 0
"грина" 0 0 0 0 0
"гринбер" 0 0 0 0 0
"громкого" 0 0 0 0 0
"группа" 0 0 0 0 0
"гуантанамо" 0 0 0 0 0
"губят" 0 0 0 0 0
"гуманистический" 0 0 0 0.05 0.05
"гуманистичная" 0 0 0 0 0
"гуманными" 0 0 0 0 0
"давал" 0 0 0 0 0
"давать" 0 0 0 0 0
"давней" 0 0 0 0 0
"дайверы" 0 0 0 0 0
"дайвинг" 0 0 0 0 0
"далее" 0 0 0 0 0
"далек" 0 0 0 0 0
"далека" 0 0 0 0 0
"далеком" 0 0 0 0 0
"даммом" 0 0 0 0 0
"дарованных" 0 0 0 0 0
"даром" 0 0 0 0 0
"дарующего" 0 0 0 0 0
"дарят" 0 0 0 0 0
"дафной" 0 0 0 0 0
"двадцать" 0.05 0.05 0 0 0
"двигатель" 0 0 0 0 0
"двигаясь" 0 0 0 0 0
"движений" 0 0 0 0 0
"движению" 0 0 0 0 0
"движется" 0 0 0 0 0
"двойники" 0 0 0 0 0
"двойников" 0 0 0 0 0
"двойничества" 0 0 0 0 0
"двум" 0 0.05 0.05 0.05 0.05
"двумя" 0 0 0 0.05 0.05
"двух" 0.1 0.1 0.4 0.6 0.6
"дебютантка" 0 0 0 0 0
"дебютом" 0 0 0 0 0
"девиза" 0 0 0 0 0
"девицу" 0 0 0 0 0
"дево" 0 0 0 0 0
"девочка" 0 0 0 0 0
"девочку" 0 0 0 0 0
"девушка" 0.05 0.05 0.1 0.05 0.05
"девушку" 0 0 0 0 0
"девяносто" 0 0 0 0 0
"деда" 0 0 0 0 0
"дедалю" 0 0 0 0 0
"дедраматизации" 0 0 0 0 0
"деду" 0 0 0 0 0
"дедушка" 0 0 0 0 0
"действием" 0 0 0 0 0
"действительно" 0 0 0 0 0
"действительный" 0 0 0 0 0
"действует" 0 0 0 0 0
"действующих" 0 0 0 0 0
"действуя" 0 0 0 0 0
"декадентски" 0 0 0 0 0
"декады" 0 0 0 0 0
"декрет" 0 0 0 0 0
"дел" 0 0 0 0 0
"делает" 0 0 0 0 0
"делами" 0 0 0 0 0
"делают" 0 0 0 0 0.05
"делая" 0 0 0 0 0
"деликатно" 0 0 0 0 0
"делить" 0 0 0 0 0
"делу" 0 0 0 0 0
"дельта" 0 0 0 0 0
"денег" 0 0 0 0 0
"дени" 0 0 0 0 0
"деньги" 0 0 0 0 0
"деплешену" 0 0 0 0 0
"держащая" 0 0 0 0 0
"десяти" 0 0 0 0 0
"десятилетий" 0.05 0.05 0.05 0 0
"десятичасовой" 0 0 0 0 0
"десять" 0.1 0.1 0.1 0.05 0
"детали" 0 0 0 0 0
"детально" 0.05 0.05 0.05 0 0
"деталями" 0 0 0 0 0
"дети" 0 0 0 0 0
"детройт" 0 0 0 0 0
"детскими" 0 0 0 0 0
"детской" 0.1 0.05 0 0 0
"детства" 0 0 0 0 0
"детстве" 0 0 0 0 0
"детство" 0 0 0 0 0
"детьми" 0 0 0 0 0
"детям" 0 0 0 0 0
"детях" 0 0 0 0 0
"дешёвый" 0 0 0 0 0
"джакартой" 0 0 0 0 0
"джаника" 0 0 0 0 0
"джедаями" 0 0 0 0 0
"джейми" 0 0 0 0 0
"джеймс" 0 0 0 0 0
"джек" 0 0 0 0 0
"джемайма" 0 0 0 0 0
"дженнифер" 0 0 0 0 0
"джессика" 0 0 0 0 0
"джефф" 0 0 0 0 0
"джи" 0 0 0 0 0
"джимми" 0 0 0 0 0
"джимон" 0 0 0 0 0
"джин" 0 0 0 0 0
"джонатан" 0 0 0 0 0
"джону" 0 0 0 0 0
"джосса" 0 0 0 0 0
"джунглей" 0 0 0 0 0
"джунгли" 0 0 0 0 0
"ди" 0 0 0 0 0
"диалогами" 0 0 0 0 0
"диалоги" 0 0 0 0 0
"диалогов" 0 0 0 0 0
"диалогом" 0 0 0 0 0
"дивизией" 0 0 0 0 0
"диего" 0 0 0 0 0
"дико" 0 0 0 0 0
"дилан" 0 0 0 0 0
"димарко" 0 0 0 0 0
"дин" 0 0 0 0 0
"диснеевские" 0 0 0 0 0
"диснеевской" 0 0 0 0 0
"диснею" 0 0 0 0 0
"диснея" 0 0 0 0 0
"дисфункциональна" 0 0 0 0 0
"длилась" 0 0 0 0 0
"длинноты" 0 0 0 0 0
"длинные" 0 0 0 0 0
"длинных" 0 0 0 0 0
"дмитрий" 0.2 0 0.1 0.1 0.1
"дней" 0 0 0 0 0
"дни" 0 0 0 0 0
"дно" 0 0 0 0 0
"дня" 0 0 0 0 0
"добавляет" 0.05 0.05 0.05 0 0
"добавляло" 0 0 0 0 0
"добрая" 0 0 0 0 0
"добровольцы" 0 0 0 0 0
"добрые" 0 0 0 0 0
"добрым" 0 0 0 0 0
"добрых" 0 0 0 0 0
"добычей" 0 0 0 0 0
"догмы" 0 0 0 0 0
"доделывался" 0 0 0 0 0
"дождя" 0 0 0 0 0
"доказавший" 0 0 0 0 0
"доказывает" 0 0 0 0 0
"доктор" 0 0 0 0 0
"долга" 0 0 0 0 0
"долгим" 0 0 0 0 0
"долгого" 0 0 0 0 0
"долгом" 0 0 0 0 0
"долгострой" 0 0 0 0 0
"должной" 0 0 0 0 0
"долине" 0 0 0 0 0
"дом" 0 0 0 0 0
"доминик" 0 0 0 0 0
"домом" 0 0 0 0 0
"дому" 0 0 0 0 0
"дополнилось" 0 0 0 0 0
"дорогая" 0 0 0 0 0
"дороговизна" 0 0 0 0 0
"дорожного" 0 0 0 0 0
"дослужился" 0 0 0 0 0
"достается" 0 0 0 0 0
"достался" 0 0 0 0 0
"достижения" 0 0 0 0 0
"достоверностью" 0 0 0 0 0
"достоинство" 0 0 0 0 0
"досужих" 0 0 0 0 0
"дотянуть" 0 0 0 0 0
"доходит" 0 0 0 0 0
"доходчиво" 0 0 0 0 0
"драки" 0 0 0 0 0
"дракона" 0 0 0 0 0
"дракончика" 0 0 0 0 0
"дракончику" 0 0 0 0 0
"драконы" 0 0 0 0 0
"драм" 0 0 0 0 0
"драма" 0 0.05 0.05 0.05 0.05
"драматически" 0 0 0 0 0
"драматических" 0 0 0 0 0
"драматургически" 0 0 0 0 0
"драматургической" 0 0 0 0 0
"драме" 0 0 0 0 0
"драфт" 0 0 0 0 0
"древнейших" 0 0 0 0 0
"древнем" 0 0 0 0 0
"дрифтеров" 0 0 0 0 0
"дробного" 0 0 0 0 0
"дрожащей" 0 0 0 0 0
"дроид" 0 0 0 0 0
"друг" 0 0 0 0.05 0.15
"друга" 0.05 0.05 0.05 0.05 0
"другим" 0 0 0 0 0.05
"других" 0.1 0.1 0.15 0.05 0.05
"другого" 0.05 0.05 0.05 0.05 0
"друзей" 0 0 0 0 0
"друзьями" 0 0 0 0 0
"дрю" 0 0 0 0 0
"дубляже" 0 0 0 0 0
"дуглас" 0 0 0 0 0
"дует" 0 0 0 0 0
"дум" 0 0 0 0 0
"дуновением" 0 0 0 0 0
"дурном" 0 0 0 0 0
"дух" 0 0 0 0 0
"духовного" 0 0 0 0 0
"душе" 0 0 0 0 0
"душу" 0 0 0 0 0
"дующим" 0 0 0 0 0
"дэйн" 0 0 0 0 0
"евгения" 0.1 0.05 0 0 0
"еврейского" 0 0 0 0 0
"европейской" 0 0 0 0 0
"европу" 0 0 0.05 0.05 0.05
"египет" 0 0 0 0 0
"египетского" 0 0 0 0 0
"египетской" 0 0 0 0 0
"егора" 0 0 0 0 0
"едва" 0.1 0.2 0.2 0.15 0.1
"едет" 0 0 0 0 0
"единственной" 0.05 0.05 0.05 0 0
"единственный" 0 0 0 0 0
"едко" 0 0 0 0 0
"елена" 0 0.05 0.05 0.05 0
"ён" 0 0 0 0 0
"ерзая" 0 0 0 0 0
"ерничает" 0 0 0 0 0
"естественно" 0 0 0 0 0
"ею" 0 0 0 0 0
"ж" 0.05 0.05 0 0 0
"жадности" 0 0 0 0 0
"жадность" 0 0 0 0 0
"жалеть" 0 0 0 0 0
"жанр" 0 0 0 0.05 0.05
"жанре" 0.05 0.05 0.05 0 0
"жанровой" 0 0 0 0 0
"жанровом" 0 0 0 0 0
"жанровым" 0 0 0 0 0
"жанровых" 0 0 0 0 0
"жара" 0 0 0 0 0
"жгут" 0 0 0 0 0
"ждали" 0 0 0 0 0
"желает" 0 0 0 0 0
"желание" 0 0 0 0.05 0.05
"желании" 0 0 0.05 0.05 0.05
"желающего" 0 0 0 0 0
"желтоватую" 0 0 0 0 0
"женами" 0.05 0.05 0 0 0
"жене" 0 0 0 0 0
"женщина" 0 0.05 0.05 0.05 0
"женщинами" 0 0 0 0.05 0.05
"жены" 0.05 0.05 0.05 0.05 0
"жертв" 0 0 0 0 0
"жестока" 0 0 0 0 0
"жестокое" 0 0 0 0 0
"жестоком" 0 0 0 0 0
"жестокостей" 0 0 0 0 0
"живёт" 0 0 0 0 0
"жидкости" 0 0 0 0 0
"жизель" 0 0 0 0 0
"жизней" 0 0 0 0 0
"жизнью" 0 0 0 0 0
"жить" 0 0 0.05 0.05 0.05
"жужжит" 0 0 0 0 0
"журналист" 0 0 0 0 0
"жуткий" 0 0 0 0 0
"жуткого" 0 0 0 0 0
"жюли" 0 0 0 0 0
"забавной" 0 0 0 0 0
"забавные" 0 0 0 0 0
"забвение" 0 0 0 0 0
"забвения" 0 0 0 0 0
"забегаем" 0 0 0 0 0
"забирает" 0 0 0 0 0
"заботит" 0 0 0 0 0
"заботливы" 0 0 0 0 0
"заботящуюся" 0 0 0 0 0
"забыв" 0 0 0 0 0
"забывает" 0 0 0 0 0
"забыть" 0 0 0 0 0
"забыться" 0 0 0 0 0
"завели" 0 0 0 0 0
"завершенное" 0 0 0 0 0
"завершится" 0 0 0 0 0
"завершить" 0 0 0 0 0
"зависимости" 0 0 0 0 0
"зависимостями" 0 0 0 0 0
"завоевателе" 0 0 0 0 0
"завоеватель" 0 0 0 0 0
"загадкой" 0 0 0 0 0
"загадок" 0 0 0 0 0
"заговор" 0 0 0 0 0
"заговора" 0 0 0 0 0
"заданных" 0 0 0 0 0
"задач" 0 0 0 0 0
"задачи" 0 0 0 0 0
"задумка" 0 0 0 0 0
"задумки" 0 0 0 0 0
"задышать" 0 0 0 0 0
"зазорах" 0 0 0 0 0
"заимствует" 0 0 0 0 0
"заинтересует" 0 0 0 0 0
"зака" 0 0 0 0 0
"заканчиваются" 0 0 0 0 0
"заканчивая" 0 0 0 0 0
"закари" 0 0 0 0 0
"законченностью" 0 0 0 0 0
"законченный" 0 0 0 0 0
"закончил" 0 0 0 0 0
"зала" 0 0 0 0 0
"зале" 0 0 0 0 0
"заложницу" 0 0 0 0 0
"заметим" 0 0 0 0 0
"заметно" 0 0 0.05 0.05 0.1
"замечательный" 0 0 0 0 0
"замысловатый" 0 0 0 0 0
"занимавшейся" 0 0 0 0 0
"занимая" 0 0 0 0 0
"заново" 0 0 0 0 0
"заносило" 0 0 0 0 0
"занятна" 0 0 0 0 0
"занятное" 0 0 0 0 0
"занятной" 0 0 0 0 0
"западе" 0 0 0 0 0
"запас" 0 0 0 0 0
"запертом" 0 0 0 0 0
"запертый" 0 0 0 0 0
"записанными" 0 0 0 0 0
"записывает" 0 0 0 0 0
"заполняющим" 0 0 0 0 0
"запоминающегося" 0 0 0 0 0
"запомнившегося" 0 0 0 0 0
"запчастей" 0 0 0 0 0
"заработанном" 0 0 0 0 0
"заработать" 0 0 0 0 0
"зарекомендовал" 0 0 0 0 0
"заслуженный" 0 0 0 0 0
"заслуживает" 0 0 0 0 0
"заснувших" 0 0 0 0 0
"засранец" 0 0 0 0 0
"застали" 0 0 0 0 0
"застряла" 0 0 0 0 0
"застряли" 0 0 0 0 0
"затеи" 0 0 0 0 0
"затем" 0 0 0 0 0
"затопившего" 0 0 0 0 0
"затоплен" 0 0 0 0 0
"заточил" 0 0 0 0 0
"затхлой" 0 0 0 0 0
"затягивается" 0 0 0 0 0
"захватывает" 0 0 0 0 0
"зачаровать" 0 0 0 0 0
"зачатки" 0 0 0 0 0
"зачаточное" 0 0 0 0 0
"заявить" 0 0 0 0 0
"заявленного" 0 0 0 0 0
"заявленный" 0 0 0 0 0
"заявляет" 0 0 0 0 0
"звали" 0 0 0 0 0
"звания" 0 0 0 0 0
"звездами" 0 0 0 0 0
"звезде" 0 0 0 0 0
"звездные" 0 0 0 0 0
"звёздные" 0 0 0 0 0
"звездных" 0 0 0 0 0
"звучное" 0 0 0 0 0
"здоровье" 0 0 0 0 0
"здравого" 0 0 0 0 0
"зевоту" 0 0 0 0 0
"зевсом" 0 0 0 0 0
"зеглер" 0 0 0 0 0
"землю" 0 0 0 0 0
"землям" 0 0 0 0 0
"землян" 0 0 0 0 0
"злачным" 0 0 0 0 0
"злее" 0 0 0 0 0
"зло" 0 0 0 0 0
"злобный" 0 0 0 0 0
"зловещие" 0 0 0 0 0
"зловещих" 0 0 0 0 0
"злого" 0 0 0 0 0
"злодейских" 0 0 0 0 0
"злом" 0 0 0 0 0
"злостный" 0 0 0 0 0
"злую" 0 0 0 0 0
"знак" 0 0 0 0 0
"знакомо" 0 0 0 0 0
"знакомое" 0 0 0 0 0
"знакомой" 0 0 0 0 0
"знакомую" 0 0 0 0 0
"знакомый" 0 0 0 0 0
"знать" 0 0 0 0 0
"значимые" 0 0 0 0 0
"значит" 0.05 0 0 0 0.05
"золотую" 0 0 0 0 0
"зону" 0 0 0 0 0
"зоны" 0 0 0 0 0
"зрелища" 0 0 0 0 0
"зрения" 0 0 0 0 0
"зрителем" 0 0 0 0 0
"зрительского" 0.05 0 0 0 0.05
"зрительское" 0 0 0 0 0
"зрителями" 0 0 0 0 0
"зря" 0 0 0 0 0
"зубы" 0 0 0.05 0.05 0.05
"иакова" 0 0 0 0 0
"ибо" 0 0 0 0 0
"иван" 0 0.05 0.05 0.05 0
"ивет" 0 0 0 0 0
"игнорируя" 0 0 0 0 0
"играть" 0 0 0 0 0
"играют" 0 0 0 0 0
"играющие" 0 0 0 0 0
"играющий" 0 0 0 0 0
"игрища" 0 0 0 0 0
"игру" 0 0 0 0 0
"идеей" 0 0 0 0 0
"идейных" 0 0 0 0 0
"идеологическая" 0 0 0 0 0
"идет" 0 0 0 0 0
"идиллия" 0 0 0 0 0
"идиотскую" 0 0 0 0 0
"идут" 0 0 0 0 0
"идущей" 0 0 0 0 0
"изабелла" 0 0 0 0 0
"изабеллу" 0 0 0 0 0
"избаловали" 0 0 0 0 0
"избыточность" 0 0 0 0 0
"известной" 0 0 0 0 0
"изгибов" 0 0 0 0 0
"изгнанные" 0 0 0 0 0
"изгое" 0 0 0 0 0
"изгой" 0 0 0 0 0
"издержек" 0 0 0 0 0
"излишняя" 0 0 0 0 0
"измене" 0 0 0 0 0
"измерении" 0 0 0 0 0
"измерения" 0 0 0 0 0
"изначальной" 0 0 0 0 0
"изображаются" 0 0 0 0 0
"изображая" 0 0 0 0 0
"изображён" 0 0 0 0 0
"изображением" 0 0 0 0 0
"израильского" 0 0 0 0 0
"изумрудных" 0 0 0 0 0
"изучение" 0 0 0 0 0
"изучении" 0 0 0 0 0
"изучения" 0 0 0 0 0
"изысканиях" 0 0 0 0 0
"изяществом" 0 0 0 0 0
"изящно" 0 0 0 0 0
"илион" 0 0 0 0 0
"имевший" 0 0 0 0 0
"имей" 0 0 0 0 0
"имел" 0 0 0 0 0
"именем" 0 0 0 0 0
"имени" 0 0 0.05 0.05 0.1
"имеют" 0 0 0 0 0
"имеющий" 0 0 0 0 0
"имеющих" 0 0 0 0 0
"империи" 0 0 0 0 0
"империоли" 0 0 0 0 0
"имперских" 0 0 0 0 0
"импонирующих" 0 0 0 0 0
"иначе" 0 0 0 0 0
"инвектива" 0 0 0 0 0
"инди" 0 0 0 0 0
"индустрии" 0 0 0 0 0
"инженеры" 0 0 0 0 0
"ином" 0 0 0 0 0
"иносказательное" 0 0 0 0 0
"инструментарий" 0 0 0 0 0
"интеллектуальных" 0.05 0.05 0.05 0 0
"интересен" 0.1 0 0 0 0
"интересное" 0 0 0 0 0
"интересным" 0 0 0 0 0
"интересов" 0 0 0 0 0
"интерпретации" 0 0 0 0 0
"интонацией" 0 0 0 0 0
"интригу" 0 0 0.05 0.05 0.05
"информацией" 0 0 0 0 0
"информацию" 0 0 0 0 0
"инцидента" 0 0 0 0 0
"ио" 0 0 0 0 0
"ионического" 0 0 0 0 0
"иронией" 0 0 0 0 0
"ироничный" 0 0 0 0 0
"иск" 0 0 0 0 0
"искалеченного" 0 0 0 0 0
"искатели" 0 0 0 0 0
"исключение" 0 0 0 0 0
"исключено" 0 0 0 0 0
"искусств" 0 0 0 0 0
"искусства" 0.05 0.05 0.05 0 0
"искусство" 0.1 0.1 0.1 0 0
"исмаэль" 0 0 0 0 0
"испоганившим" 0 0 0 0 0
"исполнение" 0 0 0 0 0
"исполнении" 0 0.05 0.05 0.05 0.05
"исполнившая" 0 0 0 0 0
"исполнителя" 0 0 0 0 0
"исполнится" 0 0 0 0 0
"использовал" 0 0 0 0 0
"использовании" 0 0 0 0 0
"использовать" 0 0 0 0 0
"используют" 0.1 0.05 0.05 0.05 0
"используя" 0 0 0 0 0
"испытанием" 0 0 0 0 0
"исследовал" 0 0 0 0 0
"исследования" 0 0 0 0 0
"исследующими" 0 0 0 0 0
"иссякает" 0 0 0 0 0
"истеблишмент" 0 0 0 0 0
"историей" 0 0 0 0 0
"исторической" 0.05 0.05 0 0 0
"историческую" 0 0 0 0 0
"историям" 0 0 0 0 0
"исходного" 0 0 0 0 0
"исчез" 0 0 0 0 0
"исчезли" 0 0 0 0 0
"итерации" 0 0 0 0 0
"итоговый" 0 0 0 0 0
"ищут" 0 0 0 0 0
"ищущему" 0 0 0 0 0
"июне" 0 0 0 0 0
"кабинет" 0 0 0 0 0
"кавказский" 0 0 0 0 0
"каганович" 0 0 0 0 0
"кадрами" 0 0 0 0 0
"кадрах" 0 0 0 0 0
"кадров" 0 0 0 0 0
"каждое" 0 0 0 0 0
"каждом" 0 0.05 0.05 0.05 0
"каждому" 0 0 0.05 0.05 0.05
"кажутся" 0 0 0 0 0
"кажущимся" 0 0 0 0 0
"казался" 0 0 0 0 0
"каире" 0 0 0 0 0
"каким" 0 0 0 0 0.05
"какое" 0 0 0 0 0
"какой" 0 0 0 0 0
"каллипсо" 0 0 0 0 0
"калькирование" 0 0 0 0 0
"камера" 0.05 0.05 0.05 0.1 0.05
"камеру" 0 0 0 0 0
"камеры" 0 0 0 0 0
"камни" 0 0 0 0 0
"камнями" 0 0 0 0 0
"камнях" 0 0 0 0 0
"канвы" 0 0 0 0 0
"канг" 0 0 0 0 0
"канге" 0 0 0 0 0
"кангом" 0 0 0 0 0
"каникулы" 0 0 0 0 0
"каннах" 0 0 0 0 0
"капитала" 0 0 0 0 0
"капитализм" 0 0 0 0 0
"капиталистов" 0 0 0 0 0
"карпентер" 0 0 0 0 0
"карпентера" 0 0 0 0 0
"карташов" 0 0 0 0 0
"картиной" 0 0 0 0 0
"картодроме" 0 0 0 0 0
"карты" 0 0 0 0 0
"карьеры" 0 0 0 0 0
"кассиане" 0 0 0 0 0
"катастрофа" 0 0 0 0 0
"католичестве" 0 0 0 0 0
"качественно" 0 0 0 0 0
"качественной" 0 0 0 0 0
"качественным" 0 0 0 0 0
"квантовом" 0 0 0 0 0
"квантомании" 0 0 0 0 0
"квантоманию" 0 0 0 0 0
"квартиру" 0 0 0 0 0
"квеста" 0 0 0 0 0
"кем" 0 0 0 0 0
"кинга" 0 0 0 0 0
"кинговские" 0 0 0 0 0
"кинематографисту" 0 0 0 0 0
"кинематографы" 0 0 0 0 0
"киноадаптации" 0 0 0 0 0
"киновселенная" 0 0 0 0 0
"киновселенную" 0 0 0 0 0
"киногеничности" 0 0 0 0 0
"киногеничным" 0 0 0 0 0
"киногероев" 0 0 0 0 0
"кинозале" 0 0 0 0 0
"кинопрокате" 0 0 0 0 0
"кинотеатральном" 0 0 0 0 0
"кирилл" 0 0 0 0 0
"клана" 0 0 0 0 0
"клара" 0 0 0 0 0
"класса" 0 0 0 0 0
"классика" 0 0 0 0 0
"классических" 0 0 0 0 0
"классическому" 0 0 0 0 0
"клаустрофобического" 0 0 0 0 0
"клаустрофобными" 0 0 0 0 0
"клерикальная" 0 0 0 0 0
"клиентов" 0 0 0 0 0
"климат" 0 0 0 0 0
"клуб" 0 0.05 0.05 0.05 0
"ключе" 0 0 0 0 0
"ключевой" 0 0 0 0 0
"ключевых" 0.05 0.05 0.05 0 0
"книга" 0.25 0.25 0.25 0 0
"книгам" 0 0 0 0 0
"книжной" 0 0 0 0 0
"ко" 0 0 0 0 0
"ковер" 0 0 0 0 0
"код" 0 0 0 0 0
"кое" 0 0 0 0 0
"кожи" 0 0 0 0 0
"коим" 0 0 0 0 0
"кокаина" 0 0 0 0 0
"колдун" 0 0 0 0 0
"колёс" 0 0 0 0 0
"колин" 0 0 0 0 0
"коллеги" 0 0 0 0 0
"колледжу" 0 0 0 0 0
"коллектива" 0 0 0 0 0
"коллинз" 0 0 0 0 0
"колорит" 0 0 0 0 0
"колорита" 0 0 0 0 0
"колумбийским" 0 0 0 0 0
"колумбийское" 0 0 0 0 0
"колумбию" 0 0 0 0 0
"команда" 0 0 0 0 0
"командировки" 0 0 0 0 0
"комедией" 0 0 0 0 0
"комедийны" 0 0 0 0 0
"комедию" 0 0 0 0 0
"комически" 0 0 0 0 0
"комичным" 0 0 0 0 0
"коммандос" 0 0 0 0 0
"компанией" 0 0 0 0 0
"компанию" 0 0 0 0 0
"компенсирована" 0 0 0 0 0
"комплекс" 0 0 0 0 0
"комплексом" 0.05 0 0 0 0
"конкретны" 0 0 0 0 0
"конкуренции" 0 0 0 0 0
"константин" 0 0 0 0 0
"контагиозного" 0 0 0 0 0
"контекст" 0 0 0 0 0
"континента" 0 0 0 0 0
"контора" 0 0 0 0 0
"конфидентов" 0 0 0 0 0
"конфликтами" 0 0 0 0 0
"конфликте" 0 0 0 0 0
"конфликтный" 0 0 0 0 0
"концепт" 0 0 0 0 0
"концепции" 0 0 0 0 0
"концерт" 0 0 0 0 0
"концертами" 0 0 0 0 0
"концов" 0 0 0 0 0
"концовке" 0 0 0 0 0
"концовки" 0 0 0 0 0
"кончиной" 0 0 0 0 0
"конъюнктура" 0 0 0 0 0
"копи" 0 0 0 0 0
"кораблей" 0 0 0 0 0
"корабли" 0 0 0 0 0
"корабль" 0 0 0 0 0
"корана" 0 0 0 0 0
"корейском" 0 0 0 0 0
"кормак" 0 0 0 0 0
"корнями" 0 0 0 0 0
"королева" 0 0 0 0 0
"король" 0 0 0 0 0
"корпорацией" 0 0 0 0 0
"коррумпированные" 0 0 0 0 0
"космические" 0 0 0 0 0
"космический" 0 0 0 0 0
"космическим" 0 0 0 0 0
"космобола" 0 0 0 0 0
"космоболе" 0 0 0 0 0
"космоболисты" 0 0 0 0 0
"космоболу" 0 0 0 0 0
"космоопере" 0 0 0 0 0
"космосе" 0 0 0 0 0
"костыль" 0 0 0 0 0
"коченеющее" 0 0 0 0 0
"кошмар" 0 0 0 0 0
"краешке" 0 0 0 0 0
"кражей" 0 0 0 0 0
"кран" 0 0 0 0 0
"красавчика" 0 0 0 0 0
"красивое" 0 0 0 0 0
"красивую" 0 0 0 0 0
"краски" 0 0 0 0 0
"красной" 0 0 0 0 0
"красную" 0 0 0 0 0
"красотой" 0 0 0 0 0
"красочно" 0 0 0 0 0
"красочного" 0 0 0 0 0
"красочный" 0 0 0 0 0
"крен" 0 0 0 0 0
"крида" 0 0 0 0 0
"кристофер" 0 0 0 0 0
"критиками" 0 0 0 0 0
"критиковать" 0 0 0 0.05 0.05
"кричит" 0 0 0 0 0
"кровавая" 0 0 0 0 0
"кровавость" 0 0 0 0 0
"крови" 0 0 0 0 0
"кроется" 0 0 0 0 0
"крошит" 0 0 0 0 0
"крошить" 0 0 0 0 0
"кругах" 0 0 0 0 0
"круиз" 0 0 0 0 0
"крупный" 0 0 0 0 0
"крупных" 0 0 0 0 0
"крутится" 0 0 0 0 0
"крючков" 0 0 0 0 0
"ку" 0 0 0 0 0
"куба" 0 0 0 0 0
"куган" 0 0 0 0 0
"кулидж" 0 0 0 0 0
"культовый" 0 0 0 0 0
"культурной" 0 0 0 0 0
"культурными" 0 0 0 0 0
"курс" 0 0 0 0 0
"курсач" 0 0 0 0 0
"кучу" 0 0 0 0 0
"лабиринт" 0 0 0 0 0
"лабиринте" 0 0 0 0 0
"лавки" 0 0 0 0 0
"лавнесс" 0 0 0 0 0
"лагере" 0 0 0 0 0
"ладена" 0 0 0 0 0
"ладно" 0 0 0 0 0
"лаконичного" 0 0 0 0 0
"ланке" 0 0 0 0 0
"ласт" 0 0 0 0 0
"леа" 0 0 0 0 0
"лебедя" 0 0 0 0 0
"левацкое" 0 0 0 0 0
"левым" 0 0 0 0 0
"легко" 0.1 0.1 0 0 0
"легковесного" 0 0 0 0 0
"ледникового" 0 0 0 0 0
"леды" 0 0 0 0 0
"лежат" 0 0 0 0 0
"лекарств" 0 0 0 0 0
"лекарства" 0 0 0 0 0
"леммон" 0 0 0 0 0
"лента" 0 0 0 0 0
"ленте" 0 0 0 0 0
"ленту" 0 0 0 0 0
"ленты" 0 0 0 0 0
"лестером" 0 0 0 0 0
"лестница" 0 0 0 0 0
"летают" 0 0 0 0 0
"летит" 0 0 0 0 0
